S/T name,GCCSA name,SA4 name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,change 2011-2021 no.,change 2011-2021 %,Area(km2),Population density 2021(persons/km2)
Victoria,Greater Melbourne,Melbourne - Inner,431549,441412,450686,460547,470414,480345,492684,505194,518026,526230,532351,549795,571493,592422,611882,633471,648872,661128,670035,670368,627671,95320,18,143,4406
Victoria,Greater Melbourne,Melbourne - Inner East,333832,334821,335411,336286,337817,339937,343806,348379,352770,354957,356245,359544,363855,368527,373470,379590,384233,387372,390690,391067,377713,21468,06,147,2574
Victoria,Greater Melbourne,Melbourne - Inner South,353530,356514,359054,362115,365366,370194,376252,382949,390239,393350,395206,400456,406078,412335,418467,425967,430013,434106,437390,437813,427156,31950,08,162,2645
Victoria,Greater Melbourne,Melbourne - North East,388370,390954,394116,396565,401371,406937,414978,424488,435340,444623,454330,466731,479318,491185,503812,519100,529615,538299,545895,551263,546251,91921,20,1851,295
Victoria,Greater Melbourne,Melbourne - North West,280196,283267,286867,290880,294907,299857,305840,312323,320401,326252,331282,338712,347133,357156,367808,381178,393353,405480,418083,427688,428954,97672,30,1620,265
Victoria,Greater Melbourne,Melbourne - Outer East,469227,471678,473213,473467,474720,477402,481457,486118,492222,494454,495565,499371,503724,508334,513491,519929,524641,527956,530553,530527,522777,27212,06,1879,278
Victoria,Greater Melbourne,Melbourne - South East,545375,554434,566134,577600,589131,602481,617719,635453,655058,669823,684430,703106,722578,742604,765391,791564,813934,836134,858561,874998,870480,186050,27,1922,453
Victoria,Greater Melbourne,Melbourne - West,453290,464240,477447,490693,507357,524142,545102,567442,593477,618574,640336,664234,687536,710786,735070,762558,788801,814831,840497,859218,863956,223620,35,1416,610
Victoria,Greater Melbourne,Mornington Peninsula,244880,248259,251103,253798,256289,259465,263922,269092,274254,277594,279621,283894,288352,292681,296621,301030,304638,307832,310213,311897,311199,31578,11,854,365
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,